Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
25992, 裏覚醒,4,3,1,,7,11.2903%,
33454,龍喚士,3,3,2,,11,17.7419%,
39821,龍契士,3,3,3,,1,1.6129%,
23614,覚醒,2,2,1,1,2,3.2258%,
6438, 裏,2,1,1,2,4,6.4516%,
11885,龍,1,1,2,1,5,8.0645%,
13697,「,1,1,4,,2,3.2258%,
13700,」,1,1,5,,3,4.8387%,
15351,神,1,1,6,,2,3.2258%,
16764,。,1,1,7,,1,1.6129%,
18803,士,1,1,2,2,5,8.0645%,
19049,龍�,2,1,8,,4,6.4516%,
20174, 裏�,3,1,9,,4,6.4516%,
20804,魔,1,1,10,,2,3.2258%,
21410,的,1,1,11,,1,1.6129%,
21689,人,1,1,12,,1,1.6129%,
22757,�醒,2,1,13,,1,1.6129%,
23513,、,1,1,14,,1,1.6129%,
25465,天,1,1,15,,1,1.6129%,
25581,王,1,1,16,,1,1.6129%,
31660,一,1,1,17,,1,1.6129%,
31817,】,1,1,18,,1,1.6129%,
31854,【,1,1,19,,1,1.6129%,
32014,大,1,1,20,,1,1.6129%,
33434,��士,3,1,21,,3,4.8387%,
34504, 裏�,3,1,22,,4,6.4516%,
34633,の魔,2,1,23,,1,1.6129%,
35318,装,1,1,24,,1,1.6129%,
35572,田,1,1,25,,1,1.6129%,
36310,子,1,1,26,,1,1.6129%,
36704,戦,1,1,27,,1,1.6129%,
37955,生,1,1,28,,1,1.6129%,
38519,者,1,1,29,,1,1.6129%,
38834,不,1,1,30,,1,1.6129%,
39374,�士,2,1,21,1,2,3.2258%,
39820,龍�,2,1,31,,4,6.4516%,
40235,姫,1,1,32,,1,1.6129%,
40283, 「,2,1,33,,1,1.6129%,
40493,『,1,1,34,,1,1.6129%,
40549,』,1,1,35,,1,1.6129%,
40792,中,1,1,36,,1,1.6129%,
41468,上,1,1,37,,1,1.6129%,
42234,闘,1,1,38,,1,1.6129%,
42468,是,1,1,39,,1,1.6129%,
42637,女,1,1,40,,1,1.6129%,
42943,?」,2,1,41,,1,1.6129%,
43095,方,1,1,42,,1,1.6129%,
43291,作,1,1,43,,1,1.6129%,
43735,.」,2,1,44,,1,1.6129%,
44112,黒,1,1,45,,1,1.6129%,
45298,之,1,1,46,,1,1.6129%,
45635,使,1,1,47,,1,1.6129%,
46268,光,1,1,48,,1,1.6129%,
47432, 神,2,1,49,,1,1.6129%,
47703,��極,3,1,50,,1,1.6129%,
47987,代,1,1,51,,1,1.6129%,
48304,版,1,1,52,,1,1.6129%,
49011,三,1,1,53,,1,1.6129%,
49390,五,1,1,54,,1,1.6129%,
49476,武,1,1,55,,1,1.6129%,
49546,将,1,1,56,,1,1.6129%,
49960,機,1,1,57,,1,1.6129%,
